simulation_id,sim_type,roster,agent,w,eps,c,convergence_round
8,2v2,Random | Random | Self Copier | Frequency Copier,Self Copier,20,0.005,5,40
8,2v2,Random | Random | Self Copier | Frequency Copier,Self Copier,20,0.01,5,33
8,2v2,Random | Random | Self Copier | Frequency Copier,Self Copier,20,0.02,5,28
8,2v2,Random | Random | Self Copier | Frequency Copier,Self Copier,30,0.005,7,53
8,2v2,Random | Random | Self Copier | Frequency Copier,Self Copier,30,0.01,7,44
8,2v2,Random | Random | Self Copier | Frequency Copier,Self Copier,30,0.02,7,38
8,2v2,Random | Random | Self Copier | Frequency Copier,Frequency Copier,10,0.005,3,20
8,2v2,Random | Random | Self Copier | Frequency Copier,Frequency Copier,10,0.01,3,17
8,2v2,Random | Random | Self Copier | Frequency Copier,Frequency Copier,10,0.02,3,15
8,2v2,Random | Random | Self Copier | Frequency Copier,Frequency Copier,20,0.005,5,33
8,2v2,Random | Random | Self Copier | Frequency Copier,Frequency Copier,20,0.01,5,27
8,2v2,Random | Random | Self Copier | Frequency Copier,Frequency Copier,20,0.02,5,25
8,2v2,Random | Random | Self Copier | Frequency Copier,Frequency Copier,30,0.005,7,45
8,2v2,Random | Random | Self Copier | Frequency Copier,Frequency Copier,30,0.01,7,39
8,2v2,Random | Random | Self Copier | Frequency Copier,Frequency Copier,30,0.02,7,35
9,2v2,Random | Random | Self Copier | Anti Copier,Random 1,10,0.005,3,34
9,2v2,Random | Random | Self Copier | Anti Copier,Random 1,10,0.01,3,24
9,2v2,Random | Random | Self Copier | Anti Copier,Random 1,10,0.02,3,19
9,2v2,Random | Random | Self Copier | Anti Copier,Random 1,20,0.005,5,51
9,2v2,Random | Random | Self Copier | Anti Copier,Random 1,20,0.01,5,38
9,2v2,Random | Random | Self Copier | Anti Copier,Random 1,20,0.02,5,31
9,2v2,Random | Random | Self Copier | Anti Copier,Random 1,30,0.005,7,65
9,2v2,Random | Random | Self Copier | Anti Copier,Random 1,30,0.01,7,51
9,2v2,Random | Random | Self Copier | Anti Copier,Random 1,30,0.02,7,42
9,2v2,Random | Random | Self Copier | Anti Copier,Random 2,10,0.005,3,30
9,2v2,Random | Random | Self Copier | Anti Copier,Random 2,10,0.01,3,26
9,2v2,Random | Random | Self Copier | Anti Copier,Random 2,10,0.02,3,20
9,2v2,Random | Random | Self Copier | Anti Copier,Random 2,20,0.005,5,55
9,2v2,Random | Random | Self Copier | Anti Copier,Random 2,20,0.01,5,39
9,2v2,Random | Random | Self Copier | Anti Copier,Random 2,20,0.02,5,31
9,2v2,Random | Random | Self Copier | Anti Copier,Random 2,30,0.005,7,75
9,2v2,Random | Random | Self Copier | Anti Copier,Random 2,30,0.01,7,51
9,2v2,Random | Random | Self Copier | Anti Copier,Random 2,30,0.02,7,43
9,2v2,Random | Random | Self Copier | Anti Copier,Self Copier,10,0.005,3,40
9,2v2,Random | Random | Self Copier | Anti Copier,Self Copier,10,0.01,3,29
9,2v2,Random | Random | Self Copier | Anti Copier,Self Copier,10,0.02,3,23
9,2v2,Random | Random | Self Copier | Anti Copier,Self Copier,20,0.005,5,62
9,2v2,Random | Random | Self Copier | Anti Copier,Self Copier,20,0.01,5,46
9,2v2,Random | Random | Self Copier | Anti Copier,Self Copier,20,0.02,5,36
9,2v2,Random | Random | Self Copier | Anti Copier,Self Copier,30,0.005,7,80
9,2v2,Random | Random | Self Copier | Anti Copier,Self Copier,30,0.01,7,61
9,2v2,Random | Random | Self Copier | Anti Copier,Self Copier,30,0.02,7,48
9,2v2,Random | Random | Self Copier | Anti Copier,Anti Copier,10,0.005,3,48
9,2v2,Random | Random | Self Copier | Anti Copier,Anti Copier,10,0.01,3,35
9,2v2,Random | Random | Self Copier | Anti Copier,Anti Copier,10,0.02,3,27
9,2v2,Random | Random | Self Copier | Anti Copier,Anti Copier,20,0.005,5,69
9,2v2,Random | Random | Self Copier | Anti Copier,Anti Copier,20,0.01,5,52
9,2v2,Random | Random | Self Copier | Anti Copier,Anti Copier,20,0.02,5,41
9,2v2,Random | Random | Self Copier | Anti Copier,Anti Copier,30,0.005,7,90
9,2v2,Random | Random | Self Copier | Anti Copier,Anti Copier,30,0.01,7,69
9,2v2,Random | Random | Self Copier | Anti Copier,Anti Copier,30,0.02,7,54
10,2v2,Random | Random | Frequency Copier | Anti Copier,Random 1,10,0.005,3,36
10,2v2,Random | Random | Frequency Copier | Anti Copier,Random 1,10,0.01,3,29
