ruleset,simulation_id,sim_type,roster,agent,w,eps,c,convergence_round
baseline,6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 2,30,0.01,7,36
baseline,6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 2,30,0.02,7,35
baseline,6,2v2,Random | Random | Leader Copier | Frequency Copier,Leader Copier,10,0.005,3,21
baseline,6,2v2,Random | Random | Leader Copier | Frequency Copier,Leader Copier,10,0.01,3,20
baseline,6,2v2,Random | Random | Leader Copier | Frequency Copier,Leader Copier,10,0.02,3,18
baseline,6,2v2,Random | Random | Leader Copier | Frequency Copier,Leader Copier,20,0.005,5,
baseline,6,2v2,Random | Random | Leader Copier | Frequency Copier,Leader Copier,20,0.01,5,28
baseline,6,2v2,Random | Random | Leader Copier | Frequency Copier,Leader Copier,20,0.02,5,27
baseline,6,2v2,Random | Random | Leader Copier | Frequency Copier,Leader Copier,30,0.005,7,
baseline,6,2v2,Random | Random | Leader Copier | Frequency Copier,Leader Copier,30,0.01,7,
baseline,6,2v2,Random | Random | Leader Copier | Frequency Copier,Leader Copier,30,0.02,7,36
baseline,6,2v2,Random | Random | Leader Copier | Frequency Copier,Frequency Copier,10,0.005,3,20
baseline,6,2v2,Random | Random | Leader Copier | Frequency Copier,Frequency Copier,10,0.01,3,15
baseline,6,2v2,Random | Random | Leader Copier | Frequency Copier,Frequency Copier,10,0.02,3,14
baseline,6,2v2,Random | Random | Leader Copier | Frequency Copier,Frequency Copier,20,0.005,5,30
baseline,6,2v2,Random | Random | Leader Copier | Frequency Copier,Frequency Copier,20,0.01,5,27
baseline,6,2v2,Random | Random | Leader Copier | Frequency Copier,Frequency Copier,20,0.02,5,24
baseline,6,2v2,Random | Random | Leader Copier | Frequency Copier,Frequency Copier,30,0.005,7,44
baseline,6,2v2,Random | Random | Leader Copier | Frequency Copier,Frequency Copier,30,0.01,7,37
baseline,6,2v2,Random | Random | Leader Copier | Frequency Copier,Frequency Copier,30,0.02,7,34
baseline,7,2v2,Random | Random | Leader Copier | Anti Copier,Random 1,10,0.005,3,21
baseline,7,2v2,Random | Random | Leader Copier | Anti Copier,Random 1,10,0.01,3,19
baseline,7,2v2,Random | Random | Leader Copier | Anti Copier,Random 1,10,0.02,3,17
baseline,7,2v2,Random | Random | Leader Copier | Anti Copier,Random 1,20,0.005,5,31
